"Table 6.2B. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 06, 2015"
"Line"," ","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"46","            Communication",11377,12461,14321,15617,17318,19083,20857,23137,26390,30308,34329,39389,44484,45574,46282,48033,48818,50169
"47","                Telephone and telegraph",9999,11022,12724,13882,15409,16965,18355,20261,22992,26405,29917,34422,38544,39274,39489,40758,41241,42374
"48","                Radio and television",1378,1439,1597,1736,1909,2117,2502,2876,3398,3903,4412,4967,5941,6300,6793,7275,7577,7796
"49","            Electric, gas, and sanitary services",7721,8387,9223,10010,10909,12237,13731,15217,16910,18870,21466,24408,27883,30150,32599,35295,37502,39598
"50","        Wholesale trade",38722,41169,45236,50937,57068,60803,67461,74996,85952,98463,109413,121602,128163,133108,148528,159211,168193,179690
"51","        Retail trade",60071,64769,70882,78500,85543,92555,103414,114294,129186,142785,153688,166569,174835,189405,209965,226924,244085,260060
"52","        Finance, insurance, and real estate",30324,33138,36822,40657,44522,49634,55110,61845,71444,81423,93247,104433,115385,129613,143476,160527,183285,204608
"53","            Banking",8483,9158,10023,11065,12623,14299,15790,17315,19270,21893,25331,28676,32843,35090,37344,40308,43709,56891
"54","            Credit agencies other than banks",2763,3028,3374,3814,4268,4749,5329,6050,7013,8088,9019,10001,10876,12907,15174,17584,21150,23671
"55","            Security and commodity brokers",2601,3075,3491,3265,3070,3584,4181,4611,5153,5990,8098,9825,11751,16031,17419,20205,26103,31350
"56","            Insurance carriers",9085,9600,10501,11437,12580,14045,15200,16880,19074,21241,23671,25849,28481,30559,33093,36385,40699,44770
"57","            Insurance agents, brokers, and service",2340,2570,2830,3226,3601,4186,4692,5532,6482,7540,8501,9378,10325,11167,12450,14173,15994,18375
"58","            Real estate",4479,5066,5855,6920,7253,7455,8427,9682,12140,13969,15432,16893,16589,18777,22071,25020,27696,30224
"59","            Holding and other investment offices",573,641,749,931,1128,1316,1493,1775,2311,2701,3193,3810,4520,5082,5924,6852,7933,9728
"60","        Services",77460,84387,94525,106937,119467,132862,148356,166538,194221,222478,254638,290193,322710,357363,401235,440979,484523,542737
"61","            Hotels and other lodging places",3819,4097,4525,5129,5574,6007,6718,7385,8733,10072,11477,13175,14206,15449,17340,18873,20663,22280
"62","            Personal services",5190,5174,5223,5539,5768,6013,6516,7136,8138,8901,9623,10456,11060,12108,13320,14407,15489,16627
"63","            Business services",12596,13011,14491,16633,18741,19840,22572,25954,32170,38780,45570,53004,58883,67005,80440,92231,103849,117402
"64","            Auto repair, services, and parking",2574,2808,3133,3653,3969,4336,4959,5639,6912,7974,8494,9290,10063,10993,12681,14075,15314,16556
