"Table 1.1.5. Gross Domestic Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: June 28, 2016 - Next Release Date July 29, 2016"
"Line"," ","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"15","Net exports of goods and services",4.0,0.6,-3.4,4.1,-0.8,16.0,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20.0,-51.6,-102.7,-114.0,-131.9,-144.8,-109.4,-86.7,-77.9,-28.6,-34.7,-65.2,-92.5,-89.8,-96.4,-102.0,-162.7,-256.6,-375.8,-368.7,-426.5,-503.7,-619.2,-721.2,-770.9,-718.5,-723.1,-395.4,-512.7,-580.0,-565.7,-508.4,-530.0
"16","    Exports",59.7,63.0,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277.0,302.4,303.2,321.0,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953.0,992.0,1096.8,1026.7,1002.5,1040.3,1181.5,1308.9,1476.3,1664.6,1841.9,1587.7,1852.3,2106.4,2198.2,2263.3,2341.9
"17","        Goods",45.0,46.2,52.6,75.8,103.5,112.5,121.5,128.4,149.9,187.3,230.4,245.2,222.6,214.0,231.3,227.5,231.4,265.6,332.1,374.8,403.3,430.1,455.3,467.7,518.4,592.4,628.8,699.9,692.6,711.7,797.3,743.8,713.2,741.4,834.4,926.6,1049.6,1166.4,1298.8,1065.1,1279.6,1466.9,1526.0,1560.9,1618.0
"18","        Services",14.7,16.8,18.3,19.5,23.2,26.2,28.0,30.9,37.0,42.9,50.3,60.0,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,280.3,299.6,282.9,289.3,298.9,347.1,382.3,426.7,498.2,543.1,522.6,572.7,639.5,672.2,702.3,723.9
"19","    Imports",55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554.0,591.0,629.7,623.5,667.8,720.0,813.4,902.6,964.0,1055.8,1115.7,1248.6,1472.6,1395.4,1429.0,1543.9,1800.7,2030.1,2247.3,2383.2,2565.0,1983.2,2365.0,2686.4,2763.8,2771.7,2871.9
"20","        Goods",40.9,46.6,56.9,71.8,104.5,99.0,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370.0,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1251.5,1176.7,1199.3,1296.2,1511.6,1719.4,1899.7,2003.8,2149.4,1590.3,1949.8,2244.7,2305.8,2301.9,2388.5
"21","        Services",14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56.0,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,197.4,221.2,218.7,229.6,247.7,289.1,310.7,347.6,379.4,415.6,392.9,415.2,441.6,458.0,469.8,483.4
"22","Government consumption expenditures and gross investment",254.2,269.3,288.2,306.4,343.1,382.9,405.8,435.8,477.4,525.5,590.8,654.7,710.0,765.7,825.2,908.4,974.5,1030.8,1078.2,1151.9,1238.4,1298.2,1345.4,1366.1,1403.7,1452.2,1496.4,1554.2,1613.5,1726.0,1834.4,1958.8,2094.9,2220.8,2357.4,2493.7,2642.2,2801.9,3003.2,3089.1,3174.0,3168.7,3158.6,3114.2,3152.1
"23","    Federal",132.7,134.4,141.5,145.6,158.1,172.8,183.8,198.8,216.7,237.7,272.4,311.7,345.6,380.2,407.6,449.3,478.4,500.2,508.8,531.4,560.0,580.7,586.6,578.4,572.7,575.4,578.2,582.4,584.1,610.4,632.4,669.2,740.6,824.8,892.4,946.3,1002.0,1049.8,1155.6,1217.7,1303.9,1303.5,1292.5,1230.6,1219.9
"24","        National defense",100.7,98.0,100.6,102.0,109.2,117.0,123.8,132.8,143.0,157.8,181.0,211.2,242.8,269.3,294.7,326.0,349.2,369.9,379.6,388.6,402.8,412.0,404.7,390.1,380.3,376.0,376.5,371.4,367.7,382.7,391.7,412.7,456.8,519.9,570.2,608.3,642.4,678.7,754.1,788.3,832.8,836.9,817.8,767.7,748.2
"25","        Nondefense",32.0,36.4,40.9,43.5,48.9,55.8,60.0,66.0,73.7,79.9,91.4,100.5,102.8,110.8,113.0,123.3,129.2,130.3,129.2,142.7,157.3,168.8,181.9,188.3,192.4,199.3,201.7,211.0,216.4,227.7,240.7,256.5,283.8,304.9,322.1,338.1,359.6,371.0,401.5,429.4,471.1,466.5,474.7,463.0,471.6
"26","    State and local",121.4,134.9,146.7,160.8,185.0,210.2,222.1,237.0,260.7,287.8,318.5,343.0,364.4,385.6,417.5,459.2,496.1,530.5,569.3,620.5,678.3,717.4,758.8,787.7,831.1,876.8,918.2,971.8,1029.4,1115.6,1202.0,1289.5,1354.3,1396.0,1465.0,1547.4,1640.2,1752.2,1847.6,1871.4,1870.2,1865.3,1866.1,1883.6,1932.3
